Аль "Отта" Гор
Бак Грудь-Доска
Бенни Кровавыйторф
Биф Мяснобанджо
Биф Слэб
Бицепс Трицепсов
Билли Херрингтон
Бласт Толстошеий
Бласт Твёрдосыр
Боб Джонсон
Боец Забаблом
Болт Громадина
Буфф Пьёмного
Буфф Твердоспин
Буфф Слэмгрудь
Буч Становая
Ван Даркхольм
Выпад Пяткодроб
Гиббс Огромномяс
Гор Видал
Гризл Шипастый
Джет Кроваворук
Диего Мертвяк
Дирк Жесткоклюв
Джордж Арбузник
Дюк Киллертон
Злой Боб Марли
Злой Мартин Лютер Кинг
Зомби Ганди
Киллинг Кровавый
Кирпич Жесткомяс
Хрум Жопостейков
Круд Костолом
Круши Костоломов
Каменный Кулак
Мясной Валун
Ланс Убивач
Леонардо да Викинг
Макс Боль
Макс Мощняк
Максимилиан Убийственноликий
Ноам Бомбинский
Норб Хромопятно
Оутс Приседай
Бицепс Наизнанку
Пант Чанкодром
Рекс Лохобой VII
Рип Щекорез
Рип Стейколицый
Риф Взрывбот
Роид Качок
Рок Гранитов
Ролл Шипячий
Ронни Накачанец
Сара Больняк
Сержант Резня
Слэб Гермодверь
Слэб Присяд-Толчок
Слэйк Костолом
Слэйт Камнеплит
Смелый Бокобан
Смок Мускулотрон
Смэш Фонарелицо
Сплинт Волосогруд
Стамп Жваломяс
Стамп Чанкмен
Стэбби МакНож
Сэр Убивалот
Тач Ржавоствол
Теодор Больняк
Толстый Быстроног
Толчок Громадин
Транк Грудобой
Трент Телогрейка
Тулбокс Роза
Убийам Шекспир
Удар Бокопресс
Удар Камнепах
Флинт Железнорог
Форд Позвонкокрут
Фридж Мясницкий
Ханс Тестостеронссон
Хэнк Волосогруд
Чомбо Кроманьон
Шеймус Тестостеронов
Шред Ягодицель
