Аль "Отта" Гор
Бак Грудь-Доска
Бенни Кровавыйторф
Билли Херрингтон
Биф Мяснобанджо
Биф Слэб
Бицепс Наизнанку
Бицепс Трицепсов
Бласт Твёрдосыр
Бласт Толстошеий
Боб Джонсон
Боец Забаблом
Болт Громадина
Буфф Пьёмного
Буфф Слэмгрудь
Буфф Твердоспин
Буч Становая
Ван Даркхольм
Выпад Пяткодроб
Гиббс Огромномяс
Гор Видал
Гризл Шипастый
Джет Кроваворук
Джордж Арбузник
Диего Мертвяк
Дирк Жесткоклюв
Дюк Киллертон
Злой Боб Марли
Злой Мартин Лютер Кинг
Зомби Ганди
Каменный Кулак
Киллинг Кровавый
Кирпич Жесткомяс
Круд Костолом
Круши Костоломов
Ланс Убивач
Леонардо да Викинг
Макс Боль
Макс Мощняк
Максимилиан Убийственноликий
Мясной Валун
Ноам Бомбинский
Норб Хромопятно
Оутс Приседай
Пант Чанкодром
Рекс Лохобой VII
Рип Стейколицый
Рип Щекорез
Риф Взрывбот
Роид Качок
Рок Гранитов
Ролл Шипячий
Ронни Накачанец
Сара Больняк
Сержант Резня
Слэб Гермодверь
Слэб Присяд-Толчок
Слэйк Костолом
Слэйт Камнеплит
Смелый Бокобан
Смок Мускулотрон
Смэш Фонарелицо
Сплинт Волосогруд
Стамп Жваломяс
Стамп Чанкмен
Стэбби МакНож
Сэр Убивалот
Тач Ржавоствол
Теодор Больняк
Толстый Быстроног
Толчок Громадин
Транк Грудобой
Трент Телогрейка
Тулбокс Роза
Убийам Шекспир
Удар Бокопресс
Удар Камнепах
Флинт Железнорог
Форд Позвонкокрут
Фридж Мясницкий
Ханс Тестостеронссон
Хрум Жопостейков
Хэнк Волосогруд
Чомбо Кроманьон
Шеймус Тестостеронов
Шред Ягодицель
